"Event Type","Department","Start Date","End Date","Event Name","Mechanism"
Merchandise,MKT,2022122200,,Merchandise New Launch,
Seasonal  ,MKT ,2023011800,2023022800,Cny Seasonal Series 2023,Cny Seasonal Series 2023
GIGI App,"TECH, MKT",2023020800,,Gigi App New Launch,Introduction to GIGI Wallet
Seasonal  ,MKT,2023031600,2023053100,Raya Seasonal Series,Raya Seasonal Series: Kaya Raya 2023
Collab ,MKT,2023033100,2023042300,Cross Collaboration with Uniqlo,"Free Buttercream Latte(H/C), Chocolate Latte (H/C) and Americano (H/C) for 200 customers visited Uniqlo Setapak Central"
GIGI Campaign,MKT,2023040200,2023043000,Raya Campaign: Dance Challenge ,"Raya Dance Challenge, grand winner receive X100 wallet points."
Collab ,MKT,2023040500,2023040900,Cross Collaboration with H&M,Gigi X H&M (One Utama)
Collab ,MKT,2023041200,2023041600,Cross Collaboration with H&M,Gigi X H&M (Sunway Pyramid)
Collab ,MKT,2023041400,2023073100,Cross Collaboration with Valentino,Spend RM300 & above at Valentino Rudy store and get one free beverage from Gigi Coffee
Collab ,MKT,2023042000,2023053100,CIMB Deals: Buy 1 Free 1,"Buy 1 Free 1 , Free Drink Capped At RM 10 (Capped 6000 Redemptions) "
Delivery Promo,MKT,2023050100,2023053100,Food Pandan delivery Promo,Food Panda
GIGI Staff Wellfare,"HR, MKT",2023050900,2023051000,GIGI Diner pilot test ,Sales in XILNEX to punch in under staff wellfare 
Sponsorship,MKT,2023052500,2023052700,Sponsorship for ICBS,Icbs Barista Championship 
Collab ,MKT,2023052900,,Wardah Free Lip Cream,Get a free Wardah Lip M/S RM 12
Price adjustment,"TECH, MKT",2023053000,,Menu Price Increase,"Premium Outlet + RM 1, Home Barista RM 2, Klia + RM 2, Delivery Platform + RM 2, And Price Adjustment For Selected Drinks. "
Collab ,MKT,2023060100,2023123100,CIMB Deals: Spend RM 25 Free 1 Beverage,M/S RM 25 And Free 1 Beverage. June Free Black Coffee And Hot / Ice Tea (Capped 2000 Redemptions Per Month X 6 Month)
Ops Flow,R&D,2023061200,,Replace Delivery Cling Wrap With Leak Proff Paper,"Delivery Cling Wrap To Replae With Leak Proof Paper, Code Gpk-0069"
Shortage ING,GS,2023070300,2023071500,Shortage Of Monin Butterscotch,May Have Affected Buttercream Latte Sales During This Period Of Time.
Collab ,MKT,2023070500,2023070900,Cross Collaboration with Fred Perry,Gigi X Fred Perry 
Delivery Promo,MKT,2023071300,2023093000,Grabpay Later With Rm 15 Off M/S RM 100,"Grabpay Later Customer Entitle To Enjoy RM 15 Off, M/S RM 100, Entitle To 1 Redemption Per User Per Month, Max 2000 Redemption Per Month"
Seasonal  ,MKT,2023072700,2023083100,Seasonal Series: Summer 2023,"Dunk-In Series; Dunk-In Durian, Dunk-In Ice Kacang; Dunk-In Coconut For In-Store / Pick Up Only"
Collab ,MKT,2023090100,2023103100,Uob Savings Account Sign Up ,Uob Users Entitle To Enjoy RM 100 Credit When They Successfully Sign Up Uob Savings Account 
Delivery Promo,MKT,2023100100,2023103100,Foodpanda 15% Discount For Panda Pro Users,"15% Off With M/S Of RM 25 With Foodpanda, Valid With Other Promo, Jimat (Delivery) RM 7 Off With M/S RM 25, RM 15 Off With M/S  RM 45, And Tapau (Pick Up)  28% Off With M/S RM 25"
Delivery Promo,MKT,2023100100,2023103100,Shopee Food Brand Day ,"Every Thursday Of The Month, (5,12,19,16 Oct), There Willl Be 50% Off With M/S RM 15 (Capped RM 15), RM 9 Off M/S RM 35, RM 10 Off With M/S RM 40. Only For Gigi Anniversary Drinks. "
Delivery Promo,MKT,2023100100,2023103100,Foodpanda Jom Jimat Voucher For All Panda Users,"Delivery Order Entitle To Enjoy RM 7 Off With M/S RM 25, RM 11 Off With M/S of RM 40, And RM 16 Off With M/S of RM 60. Pick Up Entitle With 28% Off With M/S Of RM 25"
Product,R&D,2023100200,,New Launch: Food,New Launch Of Chocolate Cream Cheese To Pair With Chocolate Bagel (Gbk-0068-P)
Delivery Promo,MKT,2023100900,,Grab Delivery ,"Grab Users To Enjoy 30% Off On Selected Product In A Single Transaction, Butttercream Latte, Caffee Latte, And Caramel Macchiato. "
Seasonal  ,MKT,2023101200,2023111900,Seasonal Series: Anniversary 2023,"4 Special Beverages For Annniversary Series; Buttecream G-Frappe, Carascotch Latte, Caramilk Latte, Custard Latte. "
Collab ,MKT,2023101500,2023112500,Shopee Farm E-Voucher ,Redeem RM 5 Voucher From Shopee Farm
Collab ,MKT,2023101500,2023112500,Shopee Special Collaboration ,"3 Special Beverages For Shopee Collaboration; Pop G-Fizz, Pop G-Frappe, Orange Shakerato"
Price adjustment,MKT,2023110100,,"Delivery Price revert as per In-store selling price, FP Takes time to revert",
Collab ,MKT,2023110500,2023111100,Shopee Campaign Exclusive Drinks,"Purchase Orange Shakerato @ RM 11, Limit To 40 Cups X 7 Days (RM 840)"
Collab ,MKT,2023110600,2023111400,"Sip, Snap & Win ","Purchase Any Gigi Coffee X Shopee Exclusive Drinks, Post To Social Media And Stand A Chance To Win X2  Iphone 15 Pro, X2 6 Monts Gigi Coffee Pass (RM 1200)"
Collab ,MKT,2023110600,2024050500,Samsung User Rewards,Samsung Reward Their Users With Free Caffee Latte (Hot / Ice) Through Gigi App. All Except Premium Outlet
Coffee Pass,"IT, MKT",2023111100,,Unlimited Coffee Pass,"Pass Purchase For 7, 14, 30 Cups Of Americano / Latte (Excepts For Premium Outlets)"
Seasonal  ,MKT,2023112400,2023123100,Seasonal Series: Xmas 2023,""
Merchandise,MKT,2023120100,,Merchandise,Gigi X Montigo Tumblers In 2 Different Colours; Buttercream And Frozen) Sp @ RM 79.90. Only Av @ 8 Selected Stores 
Collab ,MKT,2023120800,2023121000,JD Sports x GIGI Xmas,FRI - SUN Voucher giveaway 
Collab ,MKT,2023121500,2023121700,,FRI - SUN Voucher giveaway 
Collab ,MKT,2023121800,2023122400,GIGI WARDAH 2.0,"M/S RM 25 to redeem 1 free lipcream thru  APP (1 per user), 125 pcs of voucher per outlet, once finish redeem, replace with voucher"
Collab ,MKT,2023122100,,GIGI Diner The Curve Opening,
Collab ,MKT,2023122200,2023122400,,FRI - SUN Voucher giveaway 
Sponsorship,MKT,2023122800,2023122900,G Force Volleyball Camp,
Collab,MKT,2024012300,2024022500,Jobbie x Gigi Coffee,"Physical enamel pin, Jobbie x Gigi exclusive stickers, Weekly Voucher(2x points, 3x Points) and buy 5 free 170 Gigi Points"
Product,MKT,2024011800,,Snacks Soft Launch - Gigi Coffee Home Barista,
Gigi App,MKT,2024020600,2024022900,CNY Coffee Ang Pao,"Sharable Coffee Pass. 
8 Cups Americano: RM48
18 Cups Americano: RM103
8 Cups Caffe Latte: RM68
18 Cups Caffe Latte: RM150"
Product,MKT,2024022200,,Hot Food Full Launch - Gigi Coffee Home Barista,
Collab,MKT,2024021600,2024021800,Drunk Elephant x Gigi Coffee,Redeem free drinks (Limeade G-Fizz & Pink Friday Strawberry Latte) at Fahrenheit 88
Collab,MKT,2024022300,2024022500,,
Collab,MKT,2024030100,2024030300,,
Collab,MKT,2024022200,2024022500,Health & Beauty Expo,"There are two mechanics.
1. Selling at normal price: Americano (H/C): RM8, Oatmilk Caffe Latte (H/C): RM15
2. Redemption for collecting 7 stamps from booth: Free 100 cups per day for both Americano & Oatmilk Caffe Latte. After fully redeemed for 100 cups, we're selling half price (RM4 & RM7.50 respectively)"
Sponsorship,MKT,2024022300,2024052200,Tudung Ruffle x Gigi Coffee,"We gave out 300 voucher to Tudung Ruffle
1. The Voucher Code is valid for pickup via Gigi Coffee App at all outlets, EXCEPT Gigi Coffee Home Barista, Pavilion KL & KLIA 2.
2. No minimum purchase is required.
3. The Voucher Code is valid from 23rd February 2024 – 22nd May 2024 (90 days).
4. Redemption is valid only for Caffe Latte (Hot/Cold).
5. Capped at maximum of 2 drink redemptions per user"
Sponsorship,MKT,2024030100,2024083100,"6-Month Coffee Credit - Elfira Loy","6-Month Coffee Credit (RM100/month)"
Gigi App,MKT,2024040300,2024042100,Gigi Coffee x Wardah Beauty Raya Campaign - Raya Coffee Pass,"3 Cups of Any Regular Drink: RM33.00
10 Cups of Any Regular Drink: RM108.00
30 Cups of Any Regular Drinks: RM320.00"
Seasonal,MKT,2024040300,2024042100,Gigi Coffee x Wardah Beauty Raya Campaign - HoneyComb Series,"Price of the Drinks:
Honeycomb Latte: RM18
Honeycomb Choco: RM17
Honeycomb Mocha: RM 19"
Gigi App,MKT,2024032500,2024033100,Gigi Coffee x Wardah Beauty Raya Campaign In App Activation - Free Matte Lip Cream,Free Wardah's Exclusive Matte Lip Cream - with any purchase of Wardah Raya Series.
Gigi App,MKT,2024040300,2024041400,Gigi Coffee x Wardah Beauty Raya Campaign In App Activation - Dyson Giveaway,Spend with Gigi Coffee App and stand a chance to win Dyson’s products.
Gigi App,MKT,2024080400,2024041400,Gigi Coffee x Wardah Beauty Raya Campaign In App Activation  - Lucky Sampul Raya,"Member to participate in daily lucky draw to win rewards.
List of Rewards:
10 Gigi Coffee Points
30 Gigi Coffee Points
50 Gigi Coffee Points
Wardah Exclusive Matte Lip Cream
Wardah Renew You (Anti-Aging Intensive Serum)
Wardah Crystal Secret Foaming Cleanser with Natural AHA+PHA"
Promotional,MKT,2024010300,2024033100,Foodpanda - JomJimat Campaign,"1. 15% Off for PandaPro Users
2. RM7 Off with min order RM25 (Jimat Voucher), Rm15 Off with min order Rm35 (JimatPro Voucher)
3. Tapau Voucher - RM7 Off with min order RM25 (Pick Up)"
Promotional,MKT,2024031400,2024033100,GrabFood - HotDeals Promo,"1. RM3 off with min spend of RM20
2. RM7 off with min spend of RM25
3. RM12 off with min spend of RM50"
Sponsorship,MKT,2024110400,,Blackpink x Takashi Murakami,"Blackpink x Takashi Murakami event at Sunway Pyramid
Orders collected at Sunway Pyramid Outlet
1. Pink Friday Strawberry Latte (14 cups claimed)
2. Mango Strawberry Fizz (15 cups claimed)
"
Co-funding,MKT,2024052400,,Fred Perry Anniversary Event,"Provided 100 cold brew cans for their Anniversary Event @ Pavilion
60% funded by Gigi
40% funded by Fred Perry"
Event,MKT,2024052300,2024052600,International Cafe & Beverages Show (ICBS) 2024 ,
Campaign,MKT,2024071500,2024083100,Greatness In You - Olympic 2024 Campaign,"Campaign featuring 5 groups of local athletes to emphasizes personal empowerment and potential, encouraging individuals to recognize and unlock their onner greatness."
Gigi App,MKT,2024071500,2024083100,Greatness In You - Olympic 2024 Campaign - Stickers Giveaway,Free Greatness Stickers with any in-app drinks purchases.
Gigi App,MKT,2024071500,2024083100,Greatness In You - Olympic 2024 Campaign - Draw Your Everyday Greatness,Users to Check In Gigi App Every day to Participate in Everyday Lucky Draw to Win Rewards. 
Gigi App,MKT,2024071500,2024083100,Greatness In You - Olympic 2024 Campaign - Find Your Greatness,Redeem Athletes’ Drinks with Points.
Gigi App,MKT,2024071500,2024083100,Greatness In You - Olympic 2024 Campaign - Roiad to Greatness,Connect with Third Party Fitness App -  Strava to collect calories. Calories collected can be use to redeem partners’ vouchers 
Seasonal,MKT,2024072200,2024083100,Olympic Summer Campaign - Coconut Seires,"Coco Lush Latte: RM16
Coco Lemon G-Frappe: RM18
The Equator (Home Barista Exclusive): RM18"
